1,,3,4,5,6,7,8,9,10,11,12,13,14,,,,,,,,,,,,,
甘肃,酒泉市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,武威市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,陇南市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,张掖市广播电视台,1、新闻综合频道,,2、公共频道,,,,,,,,,,,,,,,,,,,,,,
甘肃,甘南藏族自治州广播电视台,1、综合频道,,2、综合频道（藏语）,,,,,,,,,,,,,,,,,,,,,,
甘肃,白银市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,天水市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,定西市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,平凉市广播电视台,1、新闻综合频道,,2、公共频道,,,,,,,,,,,,,,,,,,,,,,
甘肃,庆阳市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
甘肃,临夏回族自治州广播电视台,1、综合频道,,2、公共频道,,,,,,,,,,,,,,,,,,,,,,
广东,广东广播电视台,1、综合频道（高标清同播）,,2、珠江频道（高标清同播）,3、公共频道（高标清同播）,4、体育频道（高标清同播）,5、嘉佳卡通频道（高标清同播）,6、新闻频道（高标清同播）,7、经济科教频道（高标清同播）,8、粤语频道（高标清同播）,9、综艺频道(4K超高清)、,10、影视频道（高标清同播）,11、少儿频道（高标清同播）,12、移动电视频道,仅限境外落地的频道：,1、国际频道,,,,,,,,,,
广东,深圳市广播电视台,1、新闻综合频道（高标清/4K超高清同播）,,2、电视剧频道（高标清同播）,3、都市频道（高标清同播）,4、娱乐频道（高标清同播）,5、体育健康频道（高标清同播）,6、少儿频道（高标清同播）,7、公共频道（高标清同播）,8、财经生活频道（高标清同播）,9、移动电视频道,,,,,,,,,,,,,,,
广东,湛江市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
广东,汕头市广播电视台,1、新闻综合频道,,2、文旅体育频道,3、经济生活频道,,,,,,,,,,,,,,,,,,,,,
广东,汕尾市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
广东,肇庆市广播电视台,1、新闻综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
广东,阳江市广播电视台,1、综合频道（高标清同播）,,2、公共频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,
广东,佛山市广播电视台,1、综合频道（高标清同播）,,2、影视频道（高标清同播）,3、公共频道（高标清同播）,4、南海频道（高标清同播）,5、顺德频道（高标清同播）,6、三水电视节目：在电视公共频道的预留时段内插播当地新闻和经济类、科技类、法制类、农业类、重大活动类专题、有地方特色的文艺节目以及广告等,7、高明电视节目：在电视公共频道的预留时段内插播当地新闻和经济类、科技类、法制类、农业类、重大活动类专题、有地方特色的文艺节目以及广告等,,,,,,,,,,,,,,,,,
广东,蛇口广播电视台,1、综合频道（高标清同播）,,,,,,,,,,,,,,,,,,,,,,,,
广东,广州市广播电视台,1、综合频道（高标清同播）,,2、新闻频道（高标清同播）,3、南国都市频道（4K超高清频道）,4、竞赛频道（高标清同播）,5、法治频道（高标清同播）,6、影视频道（高标清同播）,,,,,,,,,,,,,,,,,,
