中央,中央广播电视台,中央,,,
,,北京,北京青年频道（高标清同播）,青年频道（高标清同播）,
,,北京,北京新闻频道（高标清同播）,新闻频道（高标清同播）,
,,北京,北京卡酷少儿频道（高标清同播）,卡酷少儿频道（高标清同播）,
,,北京,北京冬奥纪实频道（高标清/4K超高清同播）,冬奥纪实频道（高标清/4K超高清同播）,仅限境外落地的频道：
,,北京,北京国际频道,国际频道,
福建,福建广播电视台,福建,福建,,
,,福建,福建综合频道（高标清同播）,综合频道（高标清同播）,
,,福建,福建东南频道（高标清同播）,东南频道（高标清同播）,
,,福建,福建乡村振兴·公共频道（高标清同播）,乡村振兴·公共频道（高标清同播）,
,,福建,福建新闻频道（高标清同播）,新闻频道（高标清同播）,
,,福建,福建电视剧频道（高标清同播）,电视剧频道（高标清同播）,
,,福建,福建旅游频道（高标清同播）,旅游频道（高标清同播）,
,,福建,福建经济生活频道（高标清同播）,经济生活频道（高标清同播）,
,,福建,福建体育频道（高标清同播）,体育频道（高标清同播）,
,,福建,福建少儿频道（高标清同播）,少儿频道（高标清同播）,
,,福建,福建福建海峡电视台（高标清同播）,福建海峡电视台（高标清同播）,
福建,厦门市广播电视台,厦门,厦门,,
,,厦门,厦门综合频道（高标清同播）,综合频道（高标清同播）,
,,厦门,厦门海峡频道（高标清同播）,海峡频道（高标清同播）,
,,厦门,厦门影视频道（高标清同播）,影视频道（高标清同播）,
,,厦门,厦门厦门市电视台卫视频道（高标清同播）,厦门市电视台卫视频道（高标清同播）,
,,厦门,厦门全心购物频道,全心购物频道,
,,厦门,厦门移动电视频道,移动电视频道,
福建,龙岩市广播电视台,龙岩,龙岩,,
,,龙岩,龙岩新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,龙岩,龙岩公共频道（高标清同播）,公共频道（高标清同播）,
福建,漳州市广播电视台,漳州,漳州,,
,,漳州,漳州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,漳州,漳州公共频道（高标清同播）,公共频道（高标清同播）,
福建,福州市广播电视台,福州,福州,,
,,福州,福州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,福州,福州影视频道（高标清同播）,影视频道（高标清同播）,
,,福州,福州生活频道（高标清同播）,生活频道（高标清同播）,
,,福州,福州少儿频道（高标清同播）,少儿频道（高标清同播）,
,,福州,福州移动电视频道,移动电视频道,
福建,泉州市广播电视台,泉州,泉州电视节目:,电视节目:,
,,泉州,泉州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,泉州,泉州都市生活频道,都市生活频道,
,,泉州,泉州影视剧频道,影视剧频道,
,,泉州,泉州闽南语频道,闽南语频道,
福建,三明市广播电视台,三明,三明,,
,,三明,三明综合频道（高标清同播）,综合频道（高标清同播）,
,,三明,三明公共频道（高标清同播）,公共频道（高标清同播）,
福建,南平市广播电视台,南平,南平,,
,,南平,南平新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,南平,南平公共频道（高标清同播）,公共频道（高标清同播）,
福建,莆田市广播电视台,莆田,莆田,,
,,莆田,莆田新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,莆田,莆田公共频道（高标清同播）,公共频道（高标清同播）,
福建,宁德市广播电视台,宁德,宁德,,
,,宁德,宁德新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,宁德,宁德公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,甘肃广播电视台,甘肃,甘肃,,
,,甘肃,甘肃综合频道（高标清同播）,综合频道（高标清同播）,
,,甘肃,甘肃经济频道（高标清同播）,经济频道（高标清同播）,
,,甘肃,甘肃公共应急频道（高标清同播）,公共应急频道（高标清同播）,
,,甘肃,甘肃都市频道（高标清同播）,都市频道（高标清同播）,
,,甘肃,甘肃文化影视频道（高标清同播）,文化影视频道（高标清同播）,
,,甘肃,甘肃少儿频道（高标清同播）,少儿频道（高标清同播）,
,,甘肃,甘肃移动电视频道,移动电视频道,
甘肃,兰州市广播电视台,兰州,兰州,,
,,兰州,兰州新闻综合频道（高标清同播）,新闻综合频道（高标清同播）,
,,兰州,兰州生活经济频道（高标清同播）,生活经济频道（高标清同播）,
,,兰州,兰州综艺体育频道（高标清同播）,综艺体育频道（高标清同播）,
,,兰州,兰州公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,嘉峪关市广播电视台,嘉峪关,嘉峪关,,
,,嘉峪关,嘉峪关综合频道（高标清同播）,综合频道（高标清同播）,
,,嘉峪关,嘉峪关公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,金昌市广播电视台,金昌,金昌,,
,,金昌,金昌综合频道,综合频道,
,,金昌,金昌公共频道,公共频道,
甘肃,酒泉市广播电视台,酒泉,酒泉,,
,,酒泉,酒泉综合频道（高标清同播）,综合频道（高标清同播）,
,,酒泉,酒泉公共频道（高标清同播）,公共频道（高标清同播）,
甘肃,武威市广播电视台,武威,武威,,
,,武威,武威综合频道（高标清同播）,综合频道（高标清同播）,
