央视频道
,广州法治频道(高清)
,广州影视频道(高清)
,河源新闻综合频道(高清)
,河源公共频道(高清)
,中山电视频道：
,中山综合频道(高清)
,中山公共频道(高清)
,中山教育频道(高清)
,惠州新闻综合频道(高清)
,惠州公共频道(高清)
,云浮新闻综合频道(高清)
,云浮公共频道(高清)
,清远新闻综合频道(高清)
,清远公共频道(高清)
,珠海新闻综合频道(高清)
,珠海公共频道(高清)
,东莞新闻综合频道(高清)
,东莞公共频道(高清)
,江门综合频道(高清)
,江门公共频道(高清)
,江门教育频道(高清)
,揭阳新闻综合频道(高清)
,揭阳公共频道(高清)
,潮州新闻综合频道(高清)
,潮州公共频道(高清)
,韶关新闻综合频道(高清)
,韶关公共频道(高清)
,梅州综合频道(高清)
,梅州公共频道(高清)
,茂名新闻综合频道(高清)
,茂名公共频道(高清)
广西地方频道
,广西综合频道(高清)
,广西综艺旅游频道(高清)
,广西都市频道(高清)
,广西乐思购频道
,广西影视频道(高清)
,广西新闻频道(高清)
,广西科教频道
,广西公共频道(高清)
,广西移动电视频道
,广西国际频道（仅限境外落地）
,南宁新闻综合频道(高清)
,南宁都市生活频道(高清)
,南宁影视娱乐频道(高清)
,南宁公共频道(高清)
,桂林新闻综合频道(高清)
,桂林科教旅游频道
,桂林公共频道
,北海新闻综合频道
,北海经济科教频道
,北海公共频道
,玉林新闻综合频道
,玉林公共频道
,梧州新闻综合频道(高清)
,梧州公共频道(高清)
,梧州教育生活频道(高清)
,百色综合频道(高清)
,百色公共频道
,贵港新闻综合频道
,贵港公共频道
,钦州综合频道
,钦州公共频道
,来宾综合频道
,贺州综合频道
,崇左综合频道
,河池新闻综合频道
,河池教育频道
,柳州新闻综合频道
,柳州科教频道
,柳州公共频道
,防城港新闻综合频道
,防城港公共频道
贵州地方频道
,贵州新闻综合频道(高清)
,贵州公共频道(高清)
,贵州影视文艺频道
,贵州大众生活频道
,贵州体育旅游频道
,贵州科教健康频道
,贵州经济频道
,贵州家有购物频道(高清)
,贵州移动电视频道
,贵阳新闻综合频道(高清)
,贵阳经济生活频道
,贵阳法制频道
,贵阳都市频道
,六盘水新闻综合频道
,六盘水公共频道
,黔西南布依族苗族自治州新闻综合频道(高清)
,黔西南布依族苗族自治州公共频道(高清)
,黔东南苗族侗族自治州综合频道(高清)
,毕节新闻综合频道
,毕节公共频道
,遵义新闻综合频道
,遵义都市频道
,遵义公共频道
,铜仁新闻综合频道
,铜仁公共频道
,黔南布依族苗族自治州新闻综合频道(高清)
